track_id,track_name,artists,year,years_active
7pBrj5rt4SSxXwFKOyZfHR,Dissolve,"Absofacto, NITESHIFT",[2019],1
7uWdDOhI3wydISWM1AXN0M,My Potna Dem,$ilkMoney,[2021],1
7hICqTvF8m3qTwhb2TRv0z,Promiscuous Motive,Josiane Lessard,[2021],1
7vOmSP2647oNUGGEhWd1cr,Montagem Mysterious Game,LXNGVX,[2024],1
7wdwIaXUuzlu1grzWMFRJm,Mary On A Cross,Ghost,[2022],1
7x73321FbMqdxsaZBhlyzc,FLORIDA,Arizona Zervas,[2020],1
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto),"Jung Kook, Latto",[2025],1
7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,[2024],1
7yFMhCJOsH7khgpdnyrZAZ,Ride,Lana Del Rey,[2022],1
7hyFM8vIb8PyHlIMhz6Xkp,ReYup (feat. Spodee),"Travis Porter, Spodee",[2021],1
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,[2025],1
7F25roCtYi55JouckaayPC,Judas,Lady Gaga,[2022],1
7MlDNspYwfqnHxORufupwq,"Sex, Drugs, Etc.",Beach Weather,[2022],1
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",[2020],1
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,[2023],1
7IOuCLt770D8v0u3SVaDeI,Wasabi,Little Mix,[2019],1
7IzN1BfaQ8fmTHYPRPhNws,Luxury,Azealia Banks,[2021],1
7K9Z3yFNNLv5kwTjQYGjnu,#BrooklynBloodPop!,SyKo,[2021],1
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",[2025],1
7aXuop4Qambx5Oi3ynsKQr,I Don't Mind (feat. Juicy J),"USHER, Juicy J",[2019],1
7eqNATKM78MkWP6aHGXHEV,Put Your Head on My Shoulder,Paul Anka,[2019],1
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,[2020],1
7ang2G6KAVl0lTRWzm4RWv,Vibin',Kesh Kesh,[2019],1
7btQ8AOjr6zXoGHEmxL5u5,Vibe,Cookiee Kawaii,[2020],1
7bxyNLXYaEYaZTxAuQTHlD,TUCA DONKA,"CURSEDEVIL, DJ FKU, Skorde",[2024],1
